drug_a,drug_b,severity,description,raw_text
"BICTEGRAVIR SODIUM, EMTRICITABINE, AND TENOFOVIR ALAFENAMIDE FUMARATE",Herbal Products,unknown,St. John's wort The induction potency of St. John's wort may vary widely based on preparation,"7 DRUG INTERACTIONS Because BIKTARVY is a complete regimen, coadministration with other antiretroviral medications for the treatment of HIV-1 infection is not recommended. ( 7.1 ) Consult the Full Prescribing Information prior to and during treatment for important drug interactions. ( 4 , 5.2 , 7 , 12.3 ) 7.1 Other Antiretroviral Medications Because BIKTARVY is a complete regimen, coadministration with other antiretroviral medications for the treatment of HIV-1 infection is not recommended [see "
"BICTEGRAVIR SODIUM, EMTRICITABINE, AND TENOFOVIR ALAFENAMIDE FUMARATE",no clinically significant drug interactions have been observed when BIKTARVY is combined with the following drugs,unknown,"ethinyl estradiol, ledipasvir/sofosbuvir, midazolam, norgestimate, sertraline, sofosbuvir, sofosbuvir/velpatasvir, and sofosbuvir/velpatasvir/voxilaprevir","7 DRUG INTERACTIONS Because BIKTARVY is a complete regimen, coadministration with other antiretroviral medications for the treatment of HIV-1 infection is not recommended. ( 7.1 ) Consult the Full Prescribing Information prior to and during treatment for important drug interactions. ( 4 , 5.2 , 7 , 12.3 ) 7.1 Other Antiretroviral Medications Because BIKTARVY is a complete regimen, coadministration with other antiretroviral medications for the treatment of HIV-1 infection is not recommended [see "
MEDROXYPROGESTERONE ACETATE,Some drugs or herbal products that may decrease the effectiveness of hormonal contraceptives include,major,barbiturates bosentan carbamazepine felbamate griseofulvin oxcarbazepine phenytoin rifampin St. John's wort topiramate HIV protease inhibitors and non-nucleoside reverse transcriptase inhibitors : Significant changes (increase or decrease) in the plasma levels of progestin have been noted in some cases of co-administration of HIV protease inhibitors. Significant changes (increase or decrease) in the plasma levels of the progestin have been noted in some cases of co-administration with non-nucleoside reverse transcriptase inhibitors,"7 DRUG INTERACTIONS Drugs or herbal products that induce certain enzymes, including CYP3A4, may decrease the effectiveness of contraceptive drug products. Counsel patients to use a back-up method or alternative method of contraception when enzyme inducers are used with medroxyprogesterone acetate injectable suspension. ( 7.1 ) 7.1 Changes in Contraceptive Effectiveness Associated With Co-Administration of Other Products If a woman on hormonal contraceptives takes a drug or herbal product that in"
MEDROXYPROGESTERONE ACETATE,Antibiotics,unknown,"There have been reports of pregnancy while taking hormonal contraceptives and antibiotics, but clinical pharmacokinetic studies have not shown consistent effects of antibiotics on plasma concentrations of synthetic steroids. Consult the labeling of all concurrently-used drugs to obtain further information about interactions with hormonal contraceptives or the potential for enzyme alterations. 7","7 DRUG INTERACTIONS Drugs or herbal products that induce certain enzymes, including CYP3A4, may decrease the effectiveness of contraceptive drug products. Counsel patients to use a back-up method or alternative method of contraception when enzyme inducers are used with medroxyprogesterone acetate injectable suspension. ( 7.1 ) 7.1 Changes in Contraceptive Effectiveness Associated With Co-Administration of Other Products If a woman on hormonal contraceptives takes a drug or herbal product that in"
MEDROXYPROGESTERONE ACETATE,The following laboratory tests may be affected by progestins including medroxyprogesterone acetate injectable suspension,unknown,"Plasma and urinary steroid levels are decreased (e.g., progesterone, estradiol, pregnanediol, testosterone, cortisol)","7 DRUG INTERACTIONS Drugs or herbal products that induce certain enzymes, including CYP3A4, may decrease the effectiveness of contraceptive drug products. Counsel patients to use a back-up method or alternative method of contraception when enzyme inducers are used with medroxyprogesterone acetate injectable suspension. ( 7.1 ) 7.1 Changes in Contraceptive Effectiveness Associated With Co-Administration of Other Products If a woman on hormonal contraceptives takes a drug or herbal product that in"
ERYTHROMYCIN ETHYLSUCCINATE,marketing experience,contraindicated,"Ergotamine/dihydroergotamine Post-marketing reports indicate that co-administration of erythromycin with ergotamine or dihydroergotamine has been associated with acute ergot toxicity characterized by vasospasm and ischemia of the extremities and other tissues including the central nervous system. Concomitant administration of erythromycin with ergotamine or dihydroergotamine is contraindicated (see CONTRAINDICATIONS ). Triazolobenzodiazepines (such as triazolam and alprazolam) and Related Benzodiazepines Erythromycin has been reported to decrease the clearance of triazolam and midazolam, and thus, may increase the pharmacologic effect of these benzodiazepines","Drug Interactions Theophylline Erythromycin use in patients who are receiving high doses of theophylline may be associated with an increase in serum theophylline levels and potential theophylline toxicity. In case of theophylline toxicity and/or elevated serum theophylline levels, the dose of theophylline should be reduced while the patient is receiving concomitant erythromycin therapy. There have been published reports suggesting that when oral erythromycin is given concurrently with theophylli"
Unknown,Drug Interactions,unknown,"Patients receiving other narcotic analgesics, antihistamines, antipsychotics, antianxiety agents, or other CNS depressants (including alcohol) concomitantly with hydrocodone bitartrate and acetaminophen tablets may exhibit an additive CNS depression. When combined therapy is contemplated, the dose of one or both agents should be reduced. The use of MAO inhibitors or tricyclic antidepressants with hydrocodone preparations may increase the effect of either the antidepressant or hydrocodone","Drug Interactions: Patients receiving other narcotic analgesics, antihistamines, antipsychotics, antianxiety agents, or other CNS depressants (including alcohol) concomitantly with hydrocodone bitartrate and acetaminophen tablets may exhibit an additive CNS depression. When combined therapy is contemplated, the dose of one or both agents should be reduced. The use of MAO inhibitors or tricyclic antidepressants with hydrocodone preparations may increase the effect of either the antidepressant or "
CARBAMAZEPINE,the following,moderate,"Agents That May Affect Carbamazepine Plasma Levels When carbamazepine is given with drugs that can increase or decrease carbamazepine levels, close monitoring of carbamazepine levels is indicated and dosage adjustment may be required. Agents That Increase Carbamazepine Levels CYP3A4 inhibitors inhibit carbamazepine metabolism and can thus increase plasma carbamazepine levels. Drugs that have been shown, or would be expected, to increase plasma carbamazepine levels include aprepitant, cimetidine, ciprofloxacin, danazol, diltiazem, macrolides (e","Drug Interactions There has been a report of a patient who passed an orange rubbery precipitate in his stool the day after ingesting carbamazepine suspension immediately followed by Thorazine solution. Subsequent testing has shown that mixing carbamazepine suspension and chlorpromazine solution (both generic and brand name) as well as carbamazepine suspension and liquid Mellaril, resulted in the occurrence of this precipitate. Because the extent to which this occurs with other liquid medications"
CARBAMAZEPINE,monitoring of concentrations or dosage adjustment of these agents may be necessary,unknown,"When carbamazepine is added to aripiprazole, the aripiprazole dose should be doubled. Additional dose increases should be based on clinical evaluation. If carbamazepine is later withdrawn, the aripiprazole dose should be reduced","Drug Interactions There has been a report of a patient who passed an orange rubbery precipitate in his stool the day after ingesting carbamazepine suspension immediately followed by Thorazine solution. Subsequent testing has shown that mixing carbamazepine suspension and chlorpromazine solution (both generic and brand name) as well as carbamazepine suspension and liquid Mellaril, resulted in the occurrence of this precipitate. Because the extent to which this occurs with other liquid medications"
CARBAMAZEPINE,for which monitoring of concentrations or dosage adjustment may be necessary,unknown,"acetaminophen, albendazole, alprazolam, aprepitant, buprenorphone, bupropion, citalopram, clonazepam, clozapine, corticosteroids (e.g., prednisolone, dexamethasone), cyclosporine, dicumarol, dihydropyridine calcium channel blockers (e","Drug Interactions There has been a report of a patient who passed an orange rubbery precipitate in his stool the day after ingesting carbamazepine suspension immediately followed by Thorazine solution. Subsequent testing has shown that mixing carbamazepine suspension and chlorpromazine solution (both generic and brand name) as well as carbamazepine suspension and liquid Mellaril, resulted in the occurrence of this precipitate. Because the extent to which this occurs with other liquid medications"
Unknown,Drug Interactions,unknown,"Drugs Metabolized by P450 2D6: The biochemical activity of the drug metabolizing isozyme cytochrome P450 2D6 (debrisoquin hydroxylase) is reduced in a subset of the Caucasian population (about 7% to 10% of Caucasians are so-called ""poor metabolizers""); reliable estimates of the prevalence of reduced P450 2D6 isozyme activity among Asian, African and other populations are not yet available. Poor metabolizers have higher than expected plasma concentrations of tricyclic antidepressants (TCAs) when given usual doses. Depending on the fraction of drug metabolized by P450 2D6, the increase in plasma concentration may be small, or quite large (8-fold increase in plasma AUC of the TCA)","Drug Interactions: Drugs Metabolized by P450 2D6: The biochemical activity of the drug metabolizing isozyme cytochrome P450 2D6 (debrisoquin hydroxylase) is reduced in a subset of the Caucasian population (about 7% to 10% of Caucasians are so-called ""poor metabolizers""); reliable estimates of the prevalence of reduced P450 2D6 isozyme activity among Asian, African and other populations are not yet available. Poor metabolizers have higher than expected plasma concentrations of tricyclic antidepre"
Unknown,MAO Inhibitors,major,"Serious side effects and even death have been reported following the concomitant use of certain drugs with MAO inhibitors. Therefore, MAO inhibitors should be discontinued at least two weeks prior to the cautious initiation of therapy with doxepin hydrochloride. The exact length of time may vary and is dependent upon the particular MAO inhibitor being used, the length of time it has been administered, and the dosage involved","Drug Interactions: Drugs Metabolized by P450 2D6: The biochemical activity of the drug metabolizing isozyme cytochrome P450 2D6 (debrisoquin hydroxylase) is reduced in a subset of the Caucasian population (about 7% to 10% of Caucasians are so-called ""poor metabolizers""); reliable estimates of the prevalence of reduced P450 2D6 isozyme activity among Asian, African and other populations are not yet available. Poor metabolizers have higher than expected plasma concentrations of tricyclic antidepre"
Unknown,Cimetidine,major,Cimetidine has been reported to produce clinically significant fluctuations in steady-state serum concentrations of various tricyclic antidepressants. Serious anticholinergic symptoms (i.e,"Drug Interactions: Drugs Metabolized by P450 2D6: The biochemical activity of the drug metabolizing isozyme cytochrome P450 2D6 (debrisoquin hydroxylase) is reduced in a subset of the Caucasian population (about 7% to 10% of Caucasians are so-called ""poor metabolizers""); reliable estimates of the prevalence of reduced P450 2D6 isozyme activity among Asian, African and other populations are not yet available. Poor metabolizers have higher than expected plasma concentrations of tricyclic antidepre"
Unknown,Alcohol,major,It should be borne in mind that alcohol ingestion may increase the danger inherent in any intentional or unintentional doxepin hydrochloride overdosage. This is especially important in patients who may use alcohol excessively. Tolazamide: A case of severe hypoglycemia has been reported in a type II diabetic patient maintained on tolazamide (1 gm/day) 11 days after the addition of doxepin (75 mg/day),"Drug Interactions: Drugs Metabolized by P450 2D6: The biochemical activity of the drug metabolizing isozyme cytochrome P450 2D6 (debrisoquin hydroxylase) is reduced in a subset of the Caucasian population (about 7% to 10% of Caucasians are so-called ""poor metabolizers""); reliable estimates of the prevalence of reduced P450 2D6 isozyme activity among Asian, African and other populations are not yet available. Poor metabolizers have higher than expected plasma concentrations of tricyclic antidepre"
Unknown,Drug Interactions Antiarrhythmic Drugs,moderate,"Lidocaine patch 5% should be used with caution in patients receiving Class I antiarrhythmic drugs (such as tocainide and mexiletine) since the toxic effects are additive and potentially synergistic. Local Anesthetics: When lidocaine patch 5% is used concomitantly with other products containing local anesthetic agents, the amount absorbed from all formulations must be considered","Drug Interactions Antiarrhythmic Drugs: Lidocaine patch 5% should be used with caution in patients receiving Class I antiarrhythmic drugs (such as tocainide and mexiletine) since the toxic effects are additive and potentially synergistic. Local Anesthetics: When lidocaine patch 5% is used concomitantly with other products containing local anesthetic agents, the amount absorbed from all formulations must be considered."
